# GRAS free-field corrections, dB relative to the pressure response at 250 Hz.
# Source: https://www.grasacoustics.com/fileadmin-gras/downloads/GRAS_Free-field_and_Random_Incidence_Corrections.xlsx
# SHA-256 13ab5f3ccbbf1ab53774496cdcc9765e2d79180a99df50309188a7e502e7620b
# family,grid,diameterMm,frequencyHz,deg0,deg30,deg60,deg90
HalfInchOpt1,NoGrid,12.7,2000,0.269638,0.199638,0.109638,-0.170362
HalfInchOpt1,NoGrid,12.7,2240,0.335297,0.265297,0.145297,-0.154703
HalfInchOpt1,NoGrid,12.7,2500,0.410779,0.330779,0.190779,-0.129221
HalfInchOpt1,NoGrid,12.7,2800,0.488249,0.388249,0.148249,-0.181751
HalfInchOpt1,NoGrid,12.7,3150,0.586979,0.456979,0.236979,-0.203021
HalfInchOpt1,NoGrid,12.7,3550,0.710638,0.490638,0.260638,-0.209362
HalfInchOpt1,NoGrid,12.7,4000,0.877801,0.637801,0.307801,-0.182199
HalfInchOpt1,NoGrid,12.7,4500,1.084844,0.824844,0.394844,-0.175156
HalfInchOpt1,NoGrid,12.7,5000,1.302161,1.022161,0.542161,-0.137839
HalfInchOpt1,NoGrid,12.7,5600,1.596892,1.286892,0.736892,-0.093108
HalfInchOpt1,NoGrid,12.7,6300,1.912437,1.552437,0.922437,-0.027563
HalfInchOpt1,NoGrid,12.7,7100,2.306246,1.886246,1.146246,0.106246
HalfInchOpt1,NoGrid,12.7,8000,2.784394,2.274394,1.364394,0.264394
HalfInchOpt1,NoGrid,12.7,9000,3.413206,2.793206,1.783206,0.543206
HalfInchOpt1,NoGrid,12.7,10000,4.316165,3.696165,2.646165,1.256165
HalfInchOpt1,NoGrid,12.7,11200,5.343738,4.673738,3.413738,1.553738
HalfInchOpt1,NoGrid,12.7,12500,6.145649,5.245649,3.795649,1.505649
HalfInchOpt1,NoGrid,12.7,14000,6.873183,5.943183,4.063183,1.793183
HalfInchOpt1,NoGrid,12.7,16000,7.447365,6.397365,4.017365,1.567365
HalfInchOpt1,NoGrid,12.7,18000,8.274265,7.094265,4.234265,1.244265
HalfInchOpt1,NoGrid,12.7,20000,8.728239,7.138239,4.068239,0.398239
HalfInchOpt2,Grid,12.7,500,0.040541,0.038956,0.038956,0.038956
HalfInchOpt2,Grid,12.7,560,0.031789,0.028618,0.028618,0.028618
HalfInchOpt2,Grid,12.7,630,0.037803,0.033206,0.033047,0.033047
HalfInchOpt2,Grid,12.7,710,0.043508,0.040337,0.035581,0.035581
HalfInchOpt2,Grid,12.7,800,0.0668,0.060458,0.054117,0.050946
HalfInchOpt2,Grid,12.7,900,0.073152,0.041444,0.033518,0.025591
HalfInchOpt2,Grid,12.7,1000,0.086632,0.039071,0.023217,0.007363
HalfInchOpt2,Grid,12.7,1120,0.101851,0.05429,0.022583,-0.009124
HalfInchOpt2,Grid,12.7,1250,0.132361,0.0848,0.021385,-0.010322
HalfInchOpt2,Grid,12.7,1400,0.166416,0.118855,0.039587,-0.004803
HalfInchOpt2,Grid,12.7,1600,0.205669,0.158108,0.031279,-0.008355
HalfInchOpt2,Grid,12.7,1800,0.257617,0.194203,0.05152,0.003959
HalfInchOpt2,Grid,12.7,2000,0.31764,0.254226,0.063982,0.032274
HalfInchOpt2,Grid,12.7,2240,0.396849,0.317581,0.09563,0.048069
HalfInchOpt2,Grid,12.7,2500,0.493224,0.413955,0.12859,0.096882
HalfInchOpt2,Grid,12.7,2800,0.602248,0.491272,0.190052,0.142492
HalfInchOpt2,Grid,12.7,3150,0.722733,0.58005,0.247123,0.215416
HalfInchOpt2,Grid,12.7,3550,0.870529,0.680286,0.347359,0.299798
HalfInchOpt2,Grid,12.7,4000,1.055035,0.896498,0.531864,0.309913
HalfInchOpt2,Grid,12.7,4500,1.309232,1.087281,0.675086,0.421427
HalfInchOpt2,Grid,12.7,5000,1.611932,1.34242,0.787542,0.51803
HalfInchOpt2,Grid,12.7,5600,1.94581,1.692152,0.978737,0.566542
HalfInchOpt2,Grid,12.7,6300,2.318188,2.048675,1.2877,0.764529
HalfInchOpt2,Grid,12.7,7100,2.80364,2.375592,1.519494,0.790226
HalfInchOpt2,Grid,12.7,8000,3.375341,2.820463,1.679,0.426561
HalfInchOpt2,Grid,12.7,9000,4.088988,3.613378,2.107281,0.506061
HalfInchOpt2,Grid,12.7,10000,4.941551,4.212283,2.547649,0.8196
HalfInchOpt2,Grid,12.7,11200,5.909736,5.212175,3.341444,1.2012
HalfInchOpt2,Grid,12.7,12500,6.488472,5.632375,3.61896,0.987253
HalfInchOpt2,Grid,12.7,14000,7.19234,6.19356,3.720389,0.898438
HalfInchOpt2,Grid,12.7,16000,7.900018,6.726848,3.857335,0.480506
HalfInchOpt2,Grid,12.7,18000,8.816469,7.500616,4.13964,0.429884
HalfInchOpt2,Grid,12.7,20000,9.412945,7.986115,4.006847,-0.305348
HalfInchOpt2,Grid,12.7,22400,10.1,8.32439,3.917073,-1.092683
