# GRAS free-field corrections, dB relative to the pressure response at 250 Hz.
# Source: https://www.grasacoustics.com/fileadmin-gras/downloads/GRAS_Free-field_and_Random_Incidence_Corrections.xlsx
# SHA-256 13ab5f3ccbbf1ab53774496cdcc9765e2d79180a99df50309188a7e502e7620b
# family,grid,diameterMm,frequencyHz,deg0,deg30,deg60,deg90
Rugged146AE,RuggedGrid,12.7,1000,0.086667,0.076721,0.065986,0.049852
Rugged146AE,RuggedGrid,12.7,1120,0.103132,0.089717,0.073427,0.050035
Rugged146AE,RuggedGrid,12.7,1250,0.141349,0.123574,0.099053,0.066091
Rugged146AE,RuggedGrid,12.7,1400,0.185017,0.161513,0.124866,0.078769
Rugged146AE,RuggedGrid,12.7,1600,0.216535,0.184385,0.12762,0.060737
Rugged146AE,RuggedGrid,12.7,1800,0.259255,0.217488,0.136622,0.045478
Rugged146AE,RuggedGrid,12.7,2000,0.333796,0.281621,0.173202,0.054602
Rugged146AE,RuggedGrid,12.7,2240,0.425503,0.360018,0.214666,0.059263
Rugged146AE,RuggedGrid,12.7,2500,0.525736,0.445085,0.255789,0.056232
Rugged146AE,RuggedGrid,12.7,2800,0.649647,0.550858,0.306868,0.051456
Rugged146AE,RuggedGrid,12.7,3150,0.811882,0.691479,0.379729,0.053396
Rugged146AE,RuggedGrid,12.7,3550,0.996227,0.851002,0.458458,0.044698
Rugged146AE,RuggedGrid,12.7,4000,1.249688,1.076873,0.591318,0.072646
Rugged146AE,RuggedGrid,12.7,4500,1.580544,1.377881,0.788618,0.147139
Rugged146AE,RuggedGrid,12.7,5000,1.951172,1.719673,1.02809,0.259064
Rugged146AE,RuggedGrid,12.7,5600,2.375411,2.110527,1.299492,0.373362
Rugged146AE,RuggedGrid,12.7,6300,2.869188,2.566413,1.621452,0.509192
Rugged146AE,RuggedGrid,12.7,7100,3.435686,3.089599,1.998082,0.672568
Rugged146AE,RuggedGrid,12.7,8000,4.09549,3.698311,2.447044,0.884232
Rugged146AE,RuggedGrid,12.7,9000,4.711333,4.251328,2.822591,1.002222
Rugged146AE,RuggedGrid,12.7,10000,5.316232,4.784315,3.170347,1.100429
Rugged146AE,RuggedGrid,12.7,11200,5.811722,5.179505,3.322886,0.964354
Rugged146AE,RuggedGrid,12.7,12500,6.419875,5.662209,3.50816,0.848405
Rugged146AE,RuggedGrid,12.7,14000,7.398359,6.479498,3.932386,0.934165
Rugged146AE,RuggedGrid,12.7,16000,8.097663,6.953615,3.809527,0.358331
Rugged146AE,RuggedGrid,12.7,18000,9.047518,7.688902,3.89946,-0.034775
Rugged146AE,RuggedGrid,12.7,20000,9.409035,7.857474,3.418936,-1.062018
